5,5
6,7
7,8
8,7
9,17
11,19
12,14
13,35
14,31
15,29
16,31
18,54
19,27
20,42
21,60
22,66
23,49
24,42
25,64
26,40
28,64
29,69
30,75
31,28
32,46
33,108
34,78
35,83
36,109
37,89
39,132
40,122
41,110
42,158
44,171
46,151
47,112
48,141
49,127
50,164
51,132
52,121
53,150
54,198
55,202
56,187
57,139
58,255
59,174
60,245
61,211
62,235
63,217
64,273
65,130
66,292
68,167
69,82
70,298
71,280
72,260
73,185
74,242
75,99
76,170
77,324
78,305
79,329
80,361
81,290
82,117
83,142
86,158
87,339
88,320
89,435
90,456
91,348
92,295
93,273
94,417
95,274
96,399
97,201
98,501
99,369
100,184
101,367
102,440
103,460
104,189
105,528
106,594
107,336
108,608
109,557
110,371
111,360
112,592
113,472
114,396
115,523
116,114
117,349
118,590
119,669
120,413
121,728
122,517
123,248
124,747
125,350
126,204
127,725
128,600
129,436
130,477
131,432
133,378
135,204
136,878
137,596
138,147
139,560
140,921
141,672
142,166
143,701
144,713
145,942
146,597
147,735
148,713
149,964
150,355
151,776
152,951
153,574
154,644
155,1010
157,348
158,742
159,456
160,742
161,709
162,421
163,835
164,1131
166,1046
167,1131
168,1113
169,484
170,904
171,253
172,773
173,540
174,1116
176,744
177,618
178,494
179,1260
180,665
181,1418
182,1080
183,827
184,1386
186,650
187,886
189,779
190,1426
191,785
192,861
195,964
196,1272
197,1373
198,1554
199,1393
200,502
201,1730
202,1177
203,1332
204,1505
205,1616
206,1391
207,679
208,490
209,803
210,899
211,1289
212,1166
213,1661
214,478
215,1204
216,500
217,1566
218,1621
219,1166
220,568
221,1779
222,867
223,815
224,1435
225,1956
226,1738
227,980
228,1543
229,1805
230,674
231,2111
232,2170
233,1285
234,1776
235,1425
236,840
237,911
238,1112
239,359
240,2112
241,2281
243,1108
244,2234
245,2247
246,541
247,2231
248,1567
249,1143
250,1797
251,1462
252,538
253,1154
254,1422
255,308
256,902
258,2237
259,2327
260,1796
261,1635
262,1002
263,2560
264,2614
265,1414
266,1811
267,2468
268,727
269,1683
270,2134
271,1487
272,920
273,2028
274,1294
275,1418
276,2709
277,2532
278,1658
279,2576
280,1809
281,2201
282,2942
283,1064
284,299
285,1297
286,1012
287,3084
288,1699
289,2156
290,238
298,884
300,1765
301,970
302,2650
303,2529
304,1273
305,1818
306,3299
307,3447
308,1726
309,916
310,3241
311,1134
313,2975
314,2074
315,2037
316,1478
317,2325
318,2060
319,2194
320,2470
321,1532
322,3009
323,844
324,2040
325,2045
326,1821
327,3362
328,3351
329,1665
330,2771
331,1734
332,1441
333,3257
334,3363
335,2149
336,3538
337,2645
338,3843
339,2747
340,3199
341,3001
342,3038
343,1784
344,708
345,3311
346,1014
347,1867
348,3520
349,899
350,4280
351,1842
352,2742
353,3242
354,4423
355,1734
356,1280
357,4408
358,4267
359,1163
360,4415
361,3198
362,2611
363,2257
364,2190
365,3760
366,990
367,1768
368,4746
369,1253
370,4267
371,4873
372,1805
373,4591
374,1917
375,3354
376,3791
378,3824
379,1429
380,4086
381,3547
382,787
383,4292
384,1543
385,4112
386,2344
387,3809
388,2443
389,2788
391,4151
392,3249
393,2012
394,4319
395,4182
396,3505
397,4945
398,3649
399,4574
400,4053
401,4115
402,4221
403,1937
404,4076
405,3837
406,2848
407,4223
408,1051
409,2653
410,4349
411,2613
412,4262
413,2979
414,825
415,3051
416,3524
417,3520
418,5636
419,2703
420,2282
421,3009
422,3360
423,2783
424,4464
425,5985
426,2865
427,5667
428,6171
429,3402
430,4489
431,4054
432,5673
433,1868
434,1762
435,4552
436,5974
437,3077
438,3907
440,605
441,5504
442,5618
443,3554
444,3886
445,5598
447,6035
448,3932
449,2662
450,6212
451,6367
452,4622
453,6651
454,4064
455,4654
456,3458
458,6410
459,2009
460,6335
461,2964
462,6515
463,6616
464,3749
465,3533
466,3402
467,3350
468,3409
469,6262
470,6945
471,1997
472,2630
473,6642
474,2153
475,7315
476,3076
477,4452
478,3590
479,836
480,1201
482,7639
483,3549
484,4860
485,5118
486,1176
487,1813
488,4804
489,7484
490,4755
491,3890
492,4048
493,6605
494,2209
495,3299
496,7416
497,1876
498,2208
499,2751
500,4312
